"","NAME","CITY","STATE","ZIP","LAT","LON","HIGHDEG","TYPE","RELIGIOUS","ONLINE","AVGFACSAL","TUIREVSTU","INCOSTSTU","PRGMOFR","OPENADMP","ADM_RATE","TUITIONFEE_IN","TUITIONFEE_OUT","COST","NPT4_PUB","NPT4_PRIV","UGDS","UGDS_MEN","UGDS_WOMEN","UGDS_WHITE","UGDS_BLACK","UGDS_ASIAN","UGDS_HISP","INC_PCT_LO","INC_PCT_M1","INC_PCT_M2","INC_PCT_H1","INC_PCT_H2","FTFTPCTFLOAN","GRAD_DEBT_MDN","LO_INC_DEBT_MDN","MD_INC_DEBT_MDN","HI_INC_DEBT_MDN","MN_EARN_WNE_P6","MN_EARN_WNE_P7","MN_EARN_WNE_P8","MN_EARN_WNE_P9","MN_EARN_WNE_P10","MN_EARN_WNE_INC1_P6","MN_EARN_WNE_INC2_P6","MN_EARN_WNE_INC3_P6","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","CDR3","RPY_1YR_RT","RPY_3YR_RT","RPY_5YR_RT","RPY_7YR_RT"
"4915","Palace Beauty College","Los Angeles","CA","90006","34.044739","-118.309491",1,3,"NULL","0","NULL","7602","4774","6","1","NULL","NULL","NULL","NULL","NULL","12057","151","0.0861","0.9139","0.0331","0.2119","0.2848","0.3113","0.8027210884","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.1688","3486","3374","PrivacySuppressed","PrivacySuppressed","18700","NULL","PrivacySuppressed","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.122","0.5343915344","0.5463917526","0.6280991736","0.523255814"
"4916","National Polytechnic College","Lakewood","CA","90712","33.860528","-118.143809",2,3,"NULL","0","2472","8753","4337","6","1","NULL","NULL","NULL","NULL","NULL","NULL","176","0.2898","0.7102","0.0852","0.0682","0.1818","0.5341","0.5865384615","0.2307692308","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.427","17222","14250","PrivacySuppressed","PrivacySuppressed","19800","PrivacySuppressed","20200","NULL","PrivacySuppressed","19300","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.059","0.2611683849","0.268707483","0.3276955603","0.3244837758"
"4917","American Career College-Ontario","Ontario","CA","91764","34.068204","-117.583814",2,3,"NULL","0","6045","14141","5459","10","1","NULL","NULL","NULL","NULL","NULL","24718","1280","0.2164","0.7836","0.1328","0.1008","0.093","0.5797","0.6682761951","0.1453404153","0.0917431193","0.0521487204","0.04249155","0.5761","9500","9500","9500","9500","24600","NULL","28000","NULL","PrivacySuppressed","22600","27300","30400","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.054","0.264957265","0.3062178588","0.3132673267","0.3164414414"
"4918","Asher College","Sacramento","CA","95825","38.587784","-121.415767",2,3,"NULL","0","3868","9691","2676","21","1","NULL","NULL","NULL","NULL","NULL","16874","596","0.5789","0.4211","0.3154","0.3003","0.1594","0.1728","0.6923076923","0.1788908766","0.0822898032","PrivacySuppressed","PrivacySuppressed","0.3333","13437","10099","12256","9938","34500","PrivacySuppressed","34700","NULL","PrivacySuppressed","29900","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.073","0.4786641929","0.5165441176","0.4841269841","0.4954954955"
"4919","American Institute of Massage Therapy","Santa Ana","CA","92705-5445","33.71488","-117.848291",1,3,"NULL","0","NULL","5118","3525","2","1","NULL","NULL","NULL","NULL","NULL","16843","20","0.05","0.95","0","0","1","0","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.4127","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.085","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4920","University of East-West Medicine","Sunnyvale","CA","94085-3922","37.3864","-121.997011",4,3,"NULL","0","5135","7564","1053","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.03","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4921","Blake Austin College","Vacaville","CA","95687","38.378548","-121.945606",1,3,"NULL","0","NULL","15357","6556","8","1","NULL","NULL","NULL","NULL","NULL","24831","301","0.0698","0.9302","0.2326","0.1495","0.103","0.3455","0.6209677419","0.1451612903","0.1088709677","0.0625","0.0625","0.7661","9500","9500","9500","9500","32800","PrivacySuppressed","32300","NULL","PrivacySuppressed","28000","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.101","0.4385245902","0.4897540984","0.4657534247","0.5791245791"
"4922","Aviator College of Aeronautical Science and Technology","Fort Pierce","FL","34946","27.48718","-80.367303",2,3,"NULL","0","2136","59835","27758","NULL","1","NULL","74514","74514","96375","NULL","92322","233","0.8755","0.1245","0.2232","0.0558","0.2532","0.2575","0.5652173913","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.1228","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.081","0.4411764706","0.5588235294","PrivacySuppressed","PrivacySuppressed"
"4923","Trendsetters School of Beauty & Barbering","Jacksonville","FL","32205","30.31194","-81.717211",1,3,"NULL","0","NULL","4970","2234","2","1","NULL","NULL","NULL","NULL","NULL","16135","52","0.5769","0.4231","0.1154","0.8846","0","0","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.7143","10700","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","PrivacySuppressed","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.051","PrivacySuppressed","PrivacySuppressed","0.26","PrivacySuppressed"
"4924","CDA Technical Institute","Jacksonville","FL","32208","30.392267","-81.646792",1,3,"NULL","0","NULL","50628","13188","2","1","NULL","NULL","NULL","NULL","NULL","32089","245","0.9796","0.0204","0.8082","0.0449","0","0.1102","0.5718475073","0.1627565982","0.0953079179","0.0806451613","0.0894428152","0.7992","7238","7308","5451","4231","41800","NULL","44300","NULL","PrivacySuppressed","34800","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.138","0.6561954625","0.6288659794","0.6428571429","0.5282555283"
